,Mean,LB,UB,Sample size,Distribution,Min,Max,Mode,Alpha,Beta
2006_CD1,0.017956689,0.006865382,0.028924129,617,Triangular,0.007,0.029,0.018119867,11.07927713,605.9207229
2006_CD2,0.032709379,0.013510975,0.051534157,495,Triangular,0.013603079,0.052909502,0.03325629,16.19114279,478.8088572
2006_CD3,0.195183605,0.157160456,0.23149141,589,Triangular,0.170978679,0.263303538,0.217141109,114.9631435,474.0368565
2006_CD4,0.702556745,0.670146021,0.731782862,528,Triangular,1.10910521,1.315958411,1.212531811,370.9499612,157.0500388
2011_CD1,0.05448184,0.045187328,0.063685876,1679,Triangular,0.046240113,0.065804256,0.056022184,91.47500959,1587.52499
2011_CD2,0.11775842,0.099950385,0.135214112,1367,Triangular,0.105305389,0.145273331,0.12528936,160.97576,1206.02424
2011_CD3,0.531621074,0.503018447,0.558577542,1377,Triangular,0.699202371,0.817752909,0.75847764,732.042219,644.957781
2011_CD4,0.79792658,0.774891716,0.818604335,843,Triangular,1.491173729,1.707074638,1.599124183,672.6521071,170.3478929
2015_CD1,0.148477802,0.13183853,0.164798164,1201,Triangular,0.141377556,0.180081863,0.16072971,178.32184,1022.67816
2015_CD2,0.278393016,0.248729892,0.306884923,912,Triangular,0.285990027,0.366559237,0.326274632,253.8944309,658.1055691
2015_CD3,0.640245458,0.601135586,0.675520488,726,Triangular,0.919133733,1.125532882,1.022333308,464.8182025,261.1817975
2015_CD4,0.781671212,0.745315684,0.812837081,375,Triangular,1.367730479,1.675775818,1.521753149,293.1267043,81.87329566
2016_CD1,0.674891684,0.64055098,0.705951577,641,Triangular,1.023182921,1.224010823,1.123596872,432.6055694,208.3944306
2016_CD2,0.824929997,0.784482368,0.85778655,350,Triangular,1.534712556,1.950426183,1.742569369,288.725499,61.27450095
2016_CD3,0.84534421,0.806039608,0.876684032,310,Triangular,1.640101307,2.093005371,1.866553339,262.056705,47.943295
2016_CD4,0.853410866,0.814366781,0.884242841,254,Triangular,1.68398249,2.15626074,1.920121615,216.7663601,37.23363993