Year,Prevalence,Prevalence_LB,Prevalence_UB,Prevalence_young,Prevalence_LB_young,Prevalence_UB_young,Prevalence_F,Prevalence_LB_F,Prevalence_UB_F,Prevalence_M,Prevalence_LB_M,Prevalence_UB_M,Prevalence_young_F,Prevalence_LB_young_F,Prevalence_UB_young_F,Prevalence_young_M,Prevalence_LB_young_M,Prevalence_UB_young_M,DHS_Prevalence,DHS_Prevalence_LB,DHS_Prevalence_UB,DHS_Prevalence_F,DHS_Prevalence_LB_F,DHS_Prevalence_UB_F,DHS_Prevalence_M,DHS_Prevalence_LB_M,DHS_Prevalence_UB_M,DHS_Prevalence_young_F,DHS_Prevalence_LB_young_F,DHS_Prevalence_UB_young_F,DHS_Prevalence_young_M,DHS_Prevalence_LB_young_M,DHS_Prevalence_UB_young_M,Incidence,Incidence_LB,Incidence_UB,Incidence_F,Incidence_F_LB,Incidence_F_UB,Incidence_M,Incidence_M_LB,Incidence_M_UB,Incidence_F_young,Incidence_F_young_LB,Incidence_F_young_UB,Incidence_M_young,Incidence_M_young_LB,Incidence_M_young_UB,N_diagnosis,N_diagnosis_LB,N_diagnosis_UB,N_ART,N_ART_LB,N_ART_UB,DHS_know_status,DHS_know_status_LB,DHS_know_status_UB,DHS_know_status_F,DHS_know_status_F_LB,DHS_know_status_F_UB,DHS_know_status_M,DHS_know_status_M_LB,DHS_know_status_M_UB,DHS_know_status_young_F,DHS_know_status_young_F_LB,DHS_know_status_young_F_UB,DHS_know_status_young_M,DHS_know_status_young_M_LB,DHS_know_status_UB_young_M_UB,DHS_know_status_Given_HIV,DHS_know_status_Given_HIV_LB,DHS_know_status_Given_HIV_UB,DHS_know_status_F_Given_HIV,DHS_know_status_LB_F_Given_HIV,DHS_know_status_UB_F_Given_HIV,DHS_know_status_M_Given_HIV,DHS_know_status_LB_M_Given_HIV,DHS_know_status_UB_M_Given_HIV,DHS_know_status_young_F_Given_HIV,DHS_know_status_LB_young_F_Given_HIV,DHS_know_status_UB_young_F_Given_HIV,DHS_know_status_young_M_Given_HIV,DHS_know_status_LB_young_M_Given_HIV,DHS_know_status_UB_young_M_Given_HIV,HIV_rate,HIV_rate_LB,HIV_rate_UB,P_VS,P_VS_LB,P_VS_UB,P_VS_art,P_VS_art_LB,P_VS_art_UB,P_ART,P_ART_LB,P_ART_UB,N_HIV_ALL,N_HIV_ALL_LB,N_HIV_ALL_UB,N_HIV_Female,N_HIV_Female_LB,N_HIV_Female_UB,N_HIV_Male,N_HIV_Male_LB,N_HIV_Male_UB,N_HIV_Young,N_HIV_Young_LB,N_HIV_Young_UB,N_HIV_Adults,N_HIV_Adults_LB,N_HIV_Adults_UB,N_NEW_ALL,N_NEW_ALL_LB,N_NEW_ALL_UB,N_NEW_Female,N_NEW_Female_LB,N_NEW_Female_UB,N_NEW_Male,N_NEW_Male_LB,N_NEW_Male_UB,N_NEW_Young,N_NEW_Young_LB,N_NEW_Young_UB,N_NEW_Adults,N_NEW_Adults_LB,N_NEW_Adults_UB,Percent_diagnosed_total,Percent_diagnosed_total_LB,Percent_diagnosed_total_UB,Percent_diagnosed_Male,Percent_diagnosed_Male_LB,Percent_diagnosed_Male_UB,Percent_diagnosed_Female,Percent_diagnosed_Female_LB,Percent_diagnosed_Female_UB,Percent_diagnosed_Female_YOUNG,Percent_diagnosed_Female_YOUNG_LB,Percent_diagnosed_Female_YOUNG_UB,Percent_diagnosed_Male_YOUNG,Percent_diagnosed_Male_YOUNG_LB,Percent_diagnosed_Male_YOUNG_UB,Percent_on_ART_total,Percent_on_ART_total_LB,Percent_on_ART_total_UB,Percent_on_ART_Male,Percent_on_ART_Male_LB,Percent_on_ART_Male_UB,Percent_on_ART_Female,Percent_on_ART_Female_LB,Percent_on_ART_Female_UB,Percent_on_ART_Female_YOUNG,Percent_on_ART_Female_YOUNG_LB,Percent_on_ART_Female_YOUNG_UB,Percent_on_ART_Male_YOUNG,Percent_on_ART_Male_YOUNG_LB,Percent_on_ART_Male_YOUNG_UB,Percent_VS_total,Percent_VS_total_LB,Percent_VS_total_UB,Percent_VS_Male,Percent_VS_Male_LB,Percent_VS_Male_UB,Percent_VS_Female,Percent_VS_Female_LB,Percent_VS_Female_UB,Percent_VS_Female_YOUNG,Percent_VS_Female_YOUNG_LB,Percent_VS_Female_YOUNG_UB,Percent_VS_Male_YOUNG,Percent_VS_Male_YOUNG_LB,Percent_VS_Male_YOUNG_UB,Percent_VS_on_ART_total,Percent_VS_on_ART_total_LB,Percent_VS_on_ART_total_UB,Percent_VS_on_ART_Male,Percent_VS_on_ART_Male_LB,Percent_VS_on_ART_Male_UB,Percent_VS_on_ART_Female,Percent_VS_on_ART_Female_LB,Percent_VS_on_ART_Female_UB,Percent_VS_on_ART_Female_YOUNG,Percent_VS_on_ART_Female_YOUNG_LB,Percent_VS_on_ART_Female_YOUNG_UB,P_ART_All,P_ART_All_LB,P_ART_All_UB,P_ART_All_F,P_ART_All_F_LB,P_ART_All_F_UB,P_ART_All_M,P_ART_All_M_LB,P_ART_All_M_UB,P_ART_All_F_young,P_ART_All_F_young_LB,P_ART_All_F_young_UB
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4315.0884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,99000,91000,100000,65000,60000,68000,31000,14000,42000,160000,150000,170000,12000,10000,12000,7200,5900,7600,5200,4300,5500,5300,3500,6000,12000,10000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0297986,0.02664302,0.0333093,,,,0.03598998,0.03136909,0.04124936,0.02221536,0.01825485,0.02698666,0.04041633,0.02468177,0.06468814,0.01102468,0.003384873,0.030870053,0.0297986,0.02664302,0.0333093,0.03598998,0.03136909,0.04124936,0.02221536,0.01825485,0.02698666,0.04041633,0.02468177,0.06468814,0.01102468,0.003384873,0.030870053,,,,,,,,,,,,,,,,,,,12938.4762,,,0.9006908,0.8904808,0.910056,0.8943656,0.8820009,0.9055898,0.9178103,0.8985567,0.9337591,0.9247051,0.8853207,0.9517782,0.904536,0.8110147,0.9563981,0.3796636,0.3256588,0.4367264,0.4070121,0.3396499,0.4779274,0.3253974,0.2382838,0.4257218,0.5301496,0.2896103,0.7586749,0.1033247,0,0.7001873,,,,,,,,,,,,,160000,150000,160000,98000,90000,100000,64000,59000,67000,30000,15000,41000,160000,150000,160000,12000,10000,13000,6700,5800,7500,4800,4200,5400,4900,3500,5600,12000,10000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23174.9304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,99000,91000,100000,64000,59000,67000,30000,15000,39000,160000,150000,170000,10000,10000,13000,6100,5800,7500,4400,4100,5400,4400,3400,5000,10000,10000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32634.0441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,99000,92000,100000,63000,58000,67000,28000,16000,37000,160000,150000,170000,8300,8300,10000,4900,4700,5900,3500,3300,4300,3400,2500,4000,8300,8300,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42871.8561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,100000,93000,100000,62000,57000,66000,27000,16000,35000,160000,150000,170000,7600,7600,9300,4500,4200,5400,3200,3000,3900,3100,2200,3500,7600,7600,9300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52089.2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,100000,93000,110000,62000,56000,66000,26000,16000,33000,160000,150000,170000,7200,7200,8800,4200,4000,5200,3000,2800,3700,2800,2000,3200,7200,7200,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,0.03109987,0.02821961,0.03425979,,,,0.03705613,0.0327966,0.04183548,0.02430845,0.02065558,0.0285733,0.03702417,0.0225612,0.0594216,0.01565448,0.006407655,0.035356557,0.03109987,0.02821961,0.03425979,0.03705613,0.0327966,0.04183548,0.02430845,0.02065558,0.0285733,0.03702417,0.0225612,0.0594216,0.01565448,0.006407655,0.035356557,,,,,,,,,,,,,,,,,,,56376.5349,,,0.9718943,0.9690849,0.974458,0.9784265,0.9754181,0.9810793,0.9563978,0.9498574,0.9621323,0.970126,0.9520377,0.9817679,0.9384829,0.8967174,0.9646808,0.8980604,0.8634088,0.9249348,0.9130707,0.870061,0.9432673,0.87197,0.8047663,0.9192239,0.93677,0.6914858,0.9957872,0.9415174,0.4617288,1,,,,,,,,,,,,,160000,150000,170000,100000,94000,110000,61000,55000,65000,25000,16000,32000,160000,150000,170000,7100,7100,8600,4200,4000,5100,3000,2800,3600,2600,1900,3000,7100,7100,8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65257.9047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,100000,94000,110000,61000,54000,65000,24000,16000,30000,160000,150000,170000,6800,6800,8300,4100,3900,4900,2800,2600,3400,2400,1800,2800,6800,6800,8300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73279.1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,160000,170000,100000,95000,110000,60000,53000,65000,23000,16000,28000,160000,160000,170000,6600,6500,8000,4000,3800,4800,2600,2500,3200,2200,1690,2600,6600,6500,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83843.4711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,100000,95000,110000,60000,53000,65000,22000,16000,27000,160000,150000,170000,6100,6100,7400,3700,3500,4500,2400,2200,2900,1900,1300,2300,6100,6100,7400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88532.6334,,,0.9636804,0.9606725,0.9664685,0.9649468,0.9613847,0.9681949,0.960675,0.9547228,0.9658849,0.9674725,0.9526734,0.9778984,0.9621443,0.9330974,0.9793536,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,100000,96000,110000,59000,52000,64000,22000,16000,26000,160000,150000,170000,5600,5600,6800,3500,3300,4200,2100,2000,2600,1700,1200,2100,5600,5600,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0306321,0.02773987,0.03381124,,,,0.0361575,0.03189542,0.040955,0.0243697,0.02067535,0.02868917,0.0274405,0.01576775,0.0465078,0.01789716,0.008404047,0.03616172,0.0306321,0.02773987,0.03381124,0.0361575,0.03189542,0.040955,0.0243697,0.02067535,0.02868917,0.0274405,0.01576775,0.0465078,0.01789716,0.008404047,0.03616172,,,,,,,,,,,,,,,,,,,100789.494,,,,,,,,,,,,,,,,,,0.9450041,0.9162221,0.9646224,0.9595141,0.9243176,0.9793738,0.9206038,0.8609219,0.9570108,0.9658704,0.690972,1,0.7674591,0.3735375,0.9613708,,,,,,,,,,,,,160000,150000,170000,100000,96000,110000,59000,51000,64000,21000,16000,25000,160000,150000,170000,5200,5200,6300,3300,3100,4000,1900,1800,2400,1500,1100,1900,5200,5200,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113252.7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,100000,96000,110000,59000,51000,64000,21000,16000,24000,160000,150000,170000,5000,5000,6100,3200,3000,3900,1800,1700,2200,1500,1000,1800,5000,5000,6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119051.2251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,100000,95000,110000,57000,49000,62000,20000,16000,24000,160000,150000,170000,4200,4200,5100,2700,2600,3300,1500,1400,1800,1200,0,1500,4200,4200,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124229.8743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,100000,95000,110000,56000,48000,61000,20000,16000,24000,160000,150000,170000,3700,3700,4500,2400,2300,2900,1300,1200,1600,1100,0,1400,3700,3700,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,0.026,0.023,0.029,0.009,0.007,0.011,0.033,0.029,0.038,0.018,0.015,0.021,0.012,0.009,0.015,0.005,0.003,0.007,,,,,,,,,,,,,,,,0.0008,0.0002,0.0014,0.0006,0,0.0013,0.001,0,0.002,0.0006,0,0.002,0.0005,0,0.0015,,,,130175.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2,78.3,86.2,,,,,,,,,,160000,150000,170000,100000,94000,110000,55000,48000,60000,20000,16000,24000,160000,150000,170000,3400,3400,4200,2200,2100,2700,1200,1100,1500,1000,0,1300,3400,3400,4200,82.2,78.3,86.2,76.6,69.4,83.8,85,81.2,88.9,70,57.9,82.2,67.5,48,87,,,,,,,,,,,,,,,,71.5,66.8,76.1,61.3,52.6,70,76.5,72.1,80.8,58.8,46.1,71.5,49.8,29.3,70.4,89.7,86.7,92.7,83.1,75.9,90.3,92.6,89.9,95.2,89.2,79.3,99.2,79.7,75.5,83.9,82.6,78.5,86.7,73.8,66.3,81.2,70,57.9,82.2
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134112.6216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,150000,170000,100000,93000,110000,55000,47000,60000,20000,16000,24000,160000,150000,170000,3200,3200,3900,2100,2000,2600,1100,1000,1400,1000,0,1200,3200,3200,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,